9.5367431640625e-11,2899010
2.520791491381844e-10,2863643
6.663060579180191e-10,2441647
1.7612077965832836e-09,3842049
4.655297465609101e-09,1766456
1.2305075264457415e-08,1444100
3.2525285093495215e-08,1400166
8.597218202060218e-08,433781
2.2724523582613368e-07,94816
6.006640286656924e-07,105868
1.5877000634193592e-06,17179
4.196674631876147e-06,11687
1.1092824376351311e-05,6794
2.9321013287504573e-05,1591
7.750251793752839e-05,1688
0.00020485786857907452,551
0.0005414888114033798,391
0.0014312856758141403,200
0.003783233637794707,178
0.009999999999999974,180
